,user,text
25,shakira,I just graduated from my 4 week Ancient Philosophy course with the University of Pennsylvania (@Penn). I know... my… https://t.co/rBBcd16v8L
26,shakira,"Last night we received two gold awards for the El Dorado World Tour film at the @NYFTVFilmAwards, in the categories… https://t.co/spp3ucqhzo"
27,shakira,"Que llegué mandando a todo el mundo? Yooo? Nunca, @alejandrosanz 😛😘😘 #tbt https://t.co/3SGjkwz2tF"
28,shakira,"Wearing a tie dye t-shirt my son Milan made for me! 
Hoy con una camiseta tie dye que me hizo Milan! https://t.co/r7cuuqvAWC"
29,shakira,I think my son Sasha wants to be a photographer! Creo que mi hijo Sasha quiere ser fotógrafo! https://t.co/EmJIgllUYK
30,shakira,Gracias por tu trabajo y tu luz @johnandersonn1! https://t.co/OnNjM9zFNE
31,shakira,#stayhome https://t.co/mqB3hnNwPW
32,shakira,@ieio_2128 @Tyowilin Ánimo a todos mis amigos en México ❤️
33,shakira,El trabajo que estás haciendo nos enorgullece a todos Jesús! Gracias a ti y a tus compañeros! https://t.co/svD8zJ3y0h
34,shakira,Now this is is solidarity. Thank you @cinephileL ! https://t.co/jiRybEwuPv
35,shakira,@Annacardona10 Cuanto lo siento - tu hermano era y sigue siendo un héroe. Pensemos en aquellos como él antes de salir de casa.
36,shakira,Mothers know a thing or two about selflessness. Thank you to your mother for caring for those who need it! https://t.co/3OsSwrlmMa
37,shakira,@jessy_hs Barranquilleros unidos! 🇨🇴❤️
38,shakira,Big thank you to your husband! https://t.co/320SWhneOD
39,shakira,Congratulations and thank you! https://t.co/pJbuKR2OsM
40,shakira,Gracias Sarita y Nerea por su dedicación! https://t.co/ezYGoSPbvz
41,shakira,"It’s World Health Day, so let’s honor those health care workers on the frontlines who are true heroes. 
Tell me you… https://t.co/XtTchO4d97"
42,shakira,"Feliz cumpleaños a mi amada Barranquilla!
Ánimos  en estos tiempos difíciles que estamos enfrentando juntos y graci… https://t.co/dr6XDrbBZk"
43,shakira,So proud of the $10m commitment from @Michael_Rapino and my partners at @LiveNation to establish a global relief fu… https://t.co/nSkOIIjatK
44,shakira,"Conociendo la situación de padres con niños pequeños en este difícil periodo de cuarentena, empatizo con aquellos q… https://t.co/mC9JsjcTAj"
45,shakira,Just a benign ancient philosophy course at @Penn to make the confinement productive. I have to be able to think abo… https://t.co/JeDNoILMe1
46,shakira,"So proud of the positive efforts of companies in these difficult times, like my partners at Puig, who’ve turned ove… https://t.co/PA9UAG3WDI"
47,shakira,"#GlobalEffort #QuédateEnCasa #StayHome
https://t.co/hGPRPGT4PS https://t.co/CSMsYkp9Ci"
48,shakira,"o se propague COVID-19 en nuestra ciudad y proteger a nuestros ancianos, enfermos, y a todos los Barranquilleros desde ya. #QuédateEnCasa"
49,shakira,Gracias al alcalde Pumarejo por tomar medidas de seguridad en Barranquilla con anterioridad como ha debido hacerse… https://t.co/xKzJ4ZAVcr
50,shakira,Love how talented my fans are! Here’s a beautiful #MeGustaVideo illustration by @giljuniorreal! 💛 https://t.co/vZZCBcrN8L
51,shakira,"“A la carte!” Hungry anyone? Le apetece a alguien?
#MeGustaVideo https://t.co/CGvMNhM7kR https://t.co/maOaXiL3xa"
52,shakira,"We’ve seen progress, but there’s so much more to do. Let's stand together and tear down all barriers girls face aro… https://t.co/1O77HzGIS9"
53,shakira,Through my work with @UNICEF I’ve seen the power of education and how it gives children the tools they need to brea… https://t.co/EWFdnAOGql
54,shakira,"Two women I admire are @MichelleObama and @Malala, thank you for standing up and setting examples for women around… https://t.co/atAgox2fex"
55,shakira,"Wow, the #MeGustaVideo has had 3.2m views in 24 hours! Thanks guys. 
Here’s a photo of Shak &amp; @Anuel_2bleA from the… https://t.co/n4PxE9wZ7y"
56,shakira,"Wow! El #MeGustaVideo ya tiene 3.2 millones de reproducciones en 24h! Muchas gracias! 
Les compartimos una foto del… https://t.co/CMlm31xRgr"
0,ddlovato,"Demi accepted the #ALLin challenge nomination &amp; is flying in a fan to come hang with her in the studio in LA! 💗 

E… https://t.co/CEemyO4Bka"
1,ddlovato,#Demi4Fabletics 💖😝💋 https://t.co/PpT2rLfdPB https://t.co/NxZcGWNgJ1
2,ddlovato,"Listen to the new podcast episode of 'In Bed with @Nick_Offerman &amp; @MeganMullally' that features Demi! 💚 
https://t.co/VtQIJjb6s6"
3,ddlovato,"#DearClassof2020 🎓 Join Demi on June 6th for the graduate #withme livestream event on @YouTube!

Share your name an… https://t.co/ndLcV7kMBy"
4,ddlovato,You can spin the wheel on Postmates right now... there’s prizes! 🥳👀 https://t.co/TDqFkCde1v
5,ddlovato,"#ILoveMe Merch 💗
https://t.co/NCZ9A8Nyal https://t.co/0nESnY42oI"
6,ddlovato,"$5 for every item sold will provide crucial gear to frontline workers, pledging up to $125,000 now through June 30… https://t.co/rRukqqQ4aF"
7,ddlovato,#Demi4Fabletics 💖💋 https://t.co/Xm58c8Pth7 https://t.co/LshR7BiTVB
8,ddlovato,Demi x @emonitela takeover 🖤🤘🏼 Listen to the new playlist: https://t.co/b8o9touHhr https://t.co/WJwfowTIcN
9,ddlovato,👀💖 https://t.co/5fD81G88Ms
10,ddlovato,"Now we're posting #ILoveMe lyrics with @travisbarker 
💻💖 https://t.co/6ZcIe5ehu4 https://t.co/wEQbChNES9 https://t.co/fJn0STJnZd"
11,ddlovato,"Listen to Demi's new @Spotify playlist and check out what she's been listening to at home! #ListeningTogether

💚… https://t.co/cUgvNSIiis"
12,ddlovato,"#ILoveMe (emo version) ft. @travisbarker is out now!
🖤 https://t.co/adMdNGsWUh https://t.co/gF2tMz2bpf"
13,ddlovato,"#ILoveMe feat. @travisbarker 🖤🤘🏼
Out tomorrow night! https://t.co/R83q5IORNe"
14,ddlovato,"$5 for every item sold will provide crucial gear to frontline workers, pledging up to $125,000 now through June 30… https://t.co/NMM9ZgIlLq"
15,ddlovato,"#Demi4Fabletics 💗💚

https://t.co/Sakkz8cmpD https://t.co/XeLuJAOsHC"
16,ddlovato,"During the #ILoveMe video shoot, @CEEK captured an exclusive interview with Demi and behind the scenes footage 👀💗… https://t.co/diaqIKu1BB"
17,ddlovato,"Demi joined @steveo for a new episode of his podcast, Wild Ride! 🚗🔥

Watch it here: https://t.co/YJlENmeowP https://t.co/I4jtSiOZAE"
18,ddlovato,"#ILoveMe Tik Tok compilation video 👯‍♀️💗👯‍♂️
https://t.co/zeIfEfwldW https://t.co/AvjpK2vlE6"
19,ddlovato,"$5 for every item sold will provide crucial gear to frontline workers, pledging up to $125,000 now through June 30… https://t.co/am9zOc28w9"
20,ddlovato,"Feel invincible and strong with #Demi4Fabletics! 
https://t.co/W4fnnJhy8J https://t.co/TtwatH9P5O"
21,ddlovato,"#ILoveMe 
💗 https://t.co/PK6Wd55h28

#ImReady
🌈 https://t.co/VHrw6vNyz9 https://t.co/QKYRR0Dyvz"
22,ddlovato,"Demi made an @amazonmusic playlist with @samsmith! 

🗣Alexa, play the Sam and Demi At Home playlist on @AmazonMusic… https://t.co/pODNQPHy5O"
23,ddlovato,Demi &amp; @samsmith have taken over the cover for Today's Top Hits playlist and #ImReady has landed at #1! Listen on… https://t.co/NM1xDN7Bn9
24,ddlovato,"#ImReady lyric video
@samsmith 
https://t.co/sprkvCnAGr https://t.co/y1v8p3zK81"
25,ddlovato,Demi has launched the #TheMentalHealthFund to support organizations who are meeting the increased demand in crisis… https://t.co/V0CxzUVA6w
26,ddlovato,"#IMREADY out now with @samsmith 💗 
https://t.co/VHrw6vNyz9 https://t.co/Hev8cJPWcz"
27,ddlovato,#IMREADY music video out now with @samsmith: https://t.co/7DWv3LniDd
28,ddlovato,Join the #ImReady livestream with Demi &amp; Sam now: https://t.co/TQkiEwOoLY https://t.co/VhDfVCbi7x
29,ddlovato,"#IMREADY  
Join the live chat at 3:45pm PT / 11:45pm BST: https://t.co/TQkiEwOoLY https://t.co/dO1pUJ87Gs"
30,ddlovato,"#ImReady
#TeamDemi 
#TeamSam
#SamAndDemi https://t.co/TZSvUD1wJ0"
31,ddlovato,"Tune in tonight to #DisneyFamilySingalong at 8|7c on @ABCNetwork to see Demi perform ""A Dream is a Wish Your Heart… https://t.co/7FCNskc4ba"
32,ddlovato,Tomorrow → Join Demi &amp; @samsmith for an #ImReady @youtubemusic livestream at 3:45pm PT / 6:45pm ET / 11.45pm BST… https://t.co/5uyYSpOHYf
33,ddlovato,"#ImReady music video with @samsmith will premiere THIS THURSDAY at 4pm PT / 7pm ET / 12am BST!

Set a reminder:… https://t.co/huHMlQFI7e"
34,ddlovato,"🧡 @harpersbazaarus 
https://t.co/EPnOfJyaDp https://t.co/41y5NP8m8x"
35,ddlovato,"#ImReady April 17 
@samsmith
https://t.co/hEA5NV4Pt8 https://t.co/gWr9X3WwQg"
36,ddlovato,"I'm Ready with @samsmith out April 17th!
🥇 https://t.co/hEA5NV4Pt8 https://t.co/XEx2njSLCL"
37,ddlovato,Tomorrow 👀 https://t.co/7SJ5brOUyz
38,ddlovato,@samsmith I’M READY
39,ddlovato,@samsmith https://t.co/Lcw7X4Gm5v
40,ddlovato,"#ILoveMe Remix 🖤
https://t.co/82jpSTds6l https://t.co/aw2jOU6rPn"
41,ddlovato,Listen to #ILoveMe on @iheartradio ❤️ https://t.co/U7SohTIC3H https://t.co/Av2odv1g7c
42,ddlovato,"💗👏💗👏
#WorldHealthDay https://t.co/nIt2myyQs2"
43,ddlovato,"Listen to the new #ILoveMe playlist to make you feel your best self! Built by Lovatics ❤️

https://t.co/LffSv9md84"
44,ddlovato,"$5 for every item sold will provide crucial gear to frontline workers, pledging up to $125,000 now through June 30… https://t.co/x5uuNbhpfU"
45,ddlovato,"Empower your workout with #Demi4Fabletics!
https://t.co/m6ATHwjyEi https://t.co/oXpXfR7ekc"
46,ddlovato,"$5 for every item sold will provide crucial gear to frontline workers, pledging up to $125,000 now through June 30… https://t.co/sD5gO2ul3m"
47,ddlovato,The #Demi4Fabletics limited-edition capsule is here! https://t.co/FL1eXsFzyY https://t.co/Ha3NWfgztV
48,ddlovato,"#FallonAtHome ❤️ @FallonTonight 
https://t.co/NyiNGlyN1T https://t.co/bqPDt2e3Kq"
49,ddlovato,A note from Demi regarding #Demi4Fabletics https://t.co/ZFg9l7weIc
0,britneyspears,Number ONE 😱 ??!!? Thank you @RollingStone …. what an honor 💋💋💋 !!!!!! https://t.co/GnFH7Mqxjn
1,britneyspears,Hey @NASA ….. I received your gift. I know it’s been 20 years since we met on Mars and I just wanted to say ….. aww… https://t.co/2k6q6G2aq6
2,britneyspears,20 years since the Oops! 😳 album …. the anticipation and the butterflies 🦋🦋🦋 I felt before it came out were crazy …… https://t.co/h8cd2dZulJ
3,britneyspears,Smiling for my haters 🌹🌹🌹 https://t.co/VFmbSOfPUK
4,britneyspears,You asked for a new Glory cover and since it went to number one we had to make it happen !!!! Couldn’t have done it… https://t.co/9bbdbUK6Eh
5,britneyspears,Happy B day mamma !!!! Dear God we’ve shared the best laughs known to mankind ... I don’t care I will say it .... I… https://t.co/c3B4COzwa4
6,britneyspears,I’m having the best day ever .... THANK YOU ☀️☀️☀️☀️ !!!!!! https://t.co/Ws8vaiRmw0
7,britneyspears,Enough said 😜🧼🧼🌸🌸🌸🌸 and thank you to all of the healthcare workers tirelessly working to keep us safe during this t… https://t.co/nAdwJIJbjW
8,britneyspears,Oops!…how did 20 years go by so fast 😅😅🙄 ?! I can’t believe it. I remember that red suit was so freaking hot … but… https://t.co/mQA6J8jPDP
9,britneyspears,Happy Birthday @MariahCarey !! You are one of the main reasons I started singing ... your Butterfly 🦋 album never g… https://t.co/8t5u75xuf2
10,britneyspears,🌹☕️ 🌹 https://t.co/4eFVgvB3Qo
11,britneyspears,"Listen to the new @y2k2y and @_AlexanderLewis remix of #Toxic, released today in celebration of the opening of… https://t.co/miui5WokY7"
12,britneyspears,Coming soon !!!! 😜😜😜 I can’t wait to see all of the pics you guys take at @britneythezone .... it’s going to be so… https://t.co/Hz4lxTSTvH
13,britneyspears,OMG this looks so cool !!! I can’t wait to see it ⏱⏱⏱🌸🌸🌸 https://t.co/ZGcBp2OJ1J https://t.co/tTjyo27sKw
14,britneyspears,The flowers outside my bookstore 🌸 https://t.co/MXKwFXndjc
15,britneyspears,"My daddy loves Mitch, @MonsterEnergy, and @NASCAR… and we both can’t wait to see this movie.  Congrats to everyone… https://t.co/01aQjIxWaW"
16,britneyspears,🎩 photo credit: @francesiacuzzi https://t.co/7sYqcr3wKc
17,britneyspears,"Can you believe that this album was released 20 years ago today?! I can’t. It’s been the journey of a lifetime, but… https://t.co/YIbQqycPP6"
18,britneyspears,"I appreciate your prayers and support for my family during this time. Thank you, and love you all… always."
19,britneyspears,I had to make the difficult decision to put my full focus and energy on my family at this time. I hope you all can… https://t.co/4s8hs2KYNr
20,britneyspears,"However, it’s important to always put your family first… and that’s the decision I had to make. A couple of months… https://t.co/ZxXHLvUHJH"
21,britneyspears,"I don’t even know where to start with this, because this is so tough for me to say. I will not be performing my new… https://t.co/x6ZgG1vRNA"
22,britneyspears,@thebrooklyncat Can’t wait to see you in Vegas!!!!
23,britneyspears,See you in Vegas!!! 🎂💕 https://t.co/7q6HxBFBnO
24,britneyspears,@arielura Happy early birthday! Can't wait to celebrate with you 🎂
25,britneyspears,@Kerrionce See you all in Vegas ❤️
26,britneyspears,Awwww this is so sweet! Can't wait to see you all in Vegas! https://t.co/fK8MUEq6Y7
27,britneyspears,I hope everyone has a very very merry Christmas today. Celebrate and be grateful for all the good things you have i… https://t.co/mJnhOI4WJ3
28,britneyspears,Choose your own identity and desires #MyPrerogative https://t.co/pKN5mQw4qN
29,britneyspears,"This is one of the most exquisite things I’ve ever seen!!!
🎨: Sister Golden Shop https://t.co/LXF7e1GaHd"
30,britneyspears,https://t.co/5zI7HAn8Mw
31,britneyspears,Excited to get back on stage in Vegas ✨ #BritneyDomination https://t.co/Cv729NvOeg
32,britneyspears,💋💋💋 https://t.co/4LgskN8AcE
